Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Laundry & Paper Goods,Laundry,Laundry Detergent,Oxi Clean,OxiClean Laundry Detergent Sparkling Fresh 67 Loads,,OxiClean Laundry Detergent Sparkling Fresh 67 Loads,12.49,1,Market Basket,100.5 fl oz,100.5 fl oz,DE0017.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Oxi Clean,OxiClean Stain Fighters Fresco aroma Laundry Detergent,,OxiClean Stain Fighters Fresco aroma Laundry Detergent,6.86,1,Market Basket,1.58 kg,1.58 kg,DE0018.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Persil,Persil ProClean Intense Fresh Detergent Deep Clean 25 Loads,,Persil ProClean Intense Fresh Detergent Deep Clean 25 Loads,7.49,1,Market Basket,40 fl oz,40 fl oz,DE0104.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Persil,Persil ProClean plus Odor Fighter Detergent Deep Clean 20 Loads,,Persil ProClean plus Odor Fighter Detergent Deep Clean 20 Loads,7.49,1,Market Basket,40 fl oz,40 fl oz,DE0105.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Persil,Persil ProCLean Original Detergent Deep Clean 64 Loads,,Persil ProCLean Original Detergent Deep Clean 64 Loads,15.61,1,Market Basket,100 fl oz,100 fl oz,DE0106.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Planet,"Planet Laundry Detergent, 2x Ultra, Free & Clear",,"Planet Laundry Detergent, 2x Ultra, Free & Clear",12.49,1,Market Basket,50 oz,50 oz,16875.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex,Purex Free & Clear Laundry Laundry Detergent,,Purex Free & Clear Laundry Laundry Detergent,5.61,1,Market Basket,75 fl oz,75 fl oz,16913.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 19 pack Laundry Detergent,,Purex 4 in 1 Pacs Mountain Breeze 19 pack Laundry Detergent,4.99,1,Market Basket,19 pack,19 pack,DE0030.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 22 pack Laundry Detergent,,Purex 4 in 1 Pacs Mountain Breeze 22 pack Laundry Detergent,5.61,1,Market Basket,22 pack,22 pack,DE0031.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 29 pack Laundry Detergent,,Purex 4 in 1 Pacs Mountain Breeze 29 pack Laundry Detergent,5.61,1,Market Basket,29 pack,29 pack,DE0032.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 45 pack Laundry Detergent,,Purex 4 in 1 Pacs Mountain Breeze 45 pack Laundry Detergent,9.99,1,Market Basket,45 pack,45 pack,DE0033.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 58 pack Laundry Detergent,,Purex 4 in 1 Pacs Mountain Breeze 58 pack Laundry Detergent,9.99,1,Market Basket,58 pack,58 pack,DE0034.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent Mountain Breeze 57 loads,,Purex Concentrated Detergent Mountain Breeze 57 loads,3.74,1,Market Basket,75 fl oz,75 fl oz,DE0021.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent Mountain Breeze 38 loads,,Purex Concentrated Detergent Mountain Breeze 38 loads,4.99,1,Market Basket,50 fl oz,50 fl oz,DE0022.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Detergent Odor Release 43 Loads,,Purex Detergent Odor Release 43 Loads,3.74,1,Market Basket,65 fl oz,65 fl oz,DE0023.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent After the Rain 57 loads,,Purex Concentrated Detergent After the Rain 57 loads,3.74,1,Market Basket,75 fl oz,75 fl oz,DE0024.jpg,,15
